	accuracy	precision	recall	f1	auc_roc	matthews_coeff	balanced_accuracy	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	balanced_accuracy_var	#tr_var	#ac_tr_var
CHEMBL1833	0.936	0.528	0.444	0.473	0.912	0.446	0.705	121.0	8.0	0.002	0.169	0.037	0.081	0.003	0.099	0.012	0.0	0.0
CHEMBL1983	0.948	0.5	0.5	0.444	0.791	0.447	0.733	118.0	5.0	0.002	0.25	0.25	0.148	0.024	0.186	0.065	0.0	0.0
CHEMBL1741186	0.935	0.417	0.417	0.417	0.966	0.395	0.698	117.0	10.0	0.001	0.146	0.146	0.146	0.001	0.136	0.034	0.0	0.0
CHEMBL1926488	0.967	0.672	0.889	0.758	0.988	0.753	0.93	116.0	8.0	0.0	0.006	0.037	0.009	0.0	0.011	0.009	0.0	0.0
CHEMBL2971	0.917	0.646	0.667	0.532	0.926	0.561	0.8	112.0	6.0	0.005	0.133	0.111	0.015	0.003	0.007	0.015	0.0	0.0
CHEMBL4792	0.938	0.111	0.167	0.133	0.424	0.105	0.569	111.0	5.0	0.0	0.037	0.083	0.053	0.029	0.055	0.019	0.0	0.0
CHEMBL4005	0.872	0.083	0.111	0.095	0.801	0.041	0.518	108.0	6.0	0.006	0.021	0.037	0.027	0.018	0.03	0.011	0.0	0.0
CHEMBL5023	0.978	0.933	0.833	0.868	0.918	0.865	0.913	105.0	9.0	0.0	0.013	0.021	0.0	0.007	0.0	0.004	0.0	0.0
CHEMBL1898	0.941	0.528	0.5	0.467	0.68	0.462	0.731	103.0	5.0	0.001	0.169	0.0	0.031	0.001	0.043	0.0	0.0	0.0
CHEMBL333	0.962	0.75	0.778	0.743	0.981	0.735	0.877	100.0	6.0	0.001	0.062	0.037	0.023	0.0	0.028	0.009	0.0	0.0
CHEMBL5407	0.953	0.7	0.75	0.704	0.978	0.692	0.862	99.0	10.0	0.002	0.03	0.188	0.103	0.001	0.11	0.047	0.0	0.0
CHEMBL1163125	0.922	0.0	0.0	0.0	0.915	-0.033	0.484	98.0	5.0	0.001	0.0	0.0	0.0	0.006	0.001	0.0	0.0	0.0
CHEMBL216	0.651	0.238	0.667	0.296	0.919	0.257	0.659	98.0	4.0	0.275	0.139	0.333	0.192	0.014	0.226	0.081	0.0	0.0
CHEMBL5113	0.944	0.472	0.556	0.508	0.974	0.484	0.765	97.0	7.0	0.001	0.169	0.259	0.203	0.001	0.22	0.065	0.0	0.0
CHEMBL3018	0.683	0.699	0.833	0.615	1.0	0.563	0.75	94.0	8.0	0.258	0.271	0.083	0.171	0.0	0.262	0.062	0.0	0.0
CHEMBL4482	0.932	0.689	0.556	0.556	0.725	0.555	0.759	90.0	6.0	0.001	0.09	0.037	0.009	0.02	0.008	0.007	0.0	0.0
CHEMBL1795117	0.94	0.556	0.333	0.389	0.917	0.4	0.662	90.0	8.0	0.0	0.259	0.111	0.12	0.006	0.122	0.026	0.0	0.0
CHEMBL202	0.865	0.306	0.333	0.303	0.856	0.24	0.623	84.0	6.0	0.003	0.03	0.0	0.008	0.014	0.014	0.001	0.0	0.0
CHEMBL235	0.907	0.0	0.0	0.0	0.826	-0.039	0.48	83.0	3.0	0.001	0.0	0.0	0.0	0.032	0.001	0.0	0.0	0.0
CHEMBL3922	0.898	0.083	0.167	0.111	0.708	0.076	0.554	81.0	5.0	0.002	0.021	0.083	0.037	0.05	0.039	0.018	0.0	0.0
CHEMBL2079846	0.914	0.111	0.167	0.133	0.75	0.093	0.563	79.0	4.0	0.0	0.037	0.083	0.053	0.012	0.055	0.018	0.0	0.0
CHEMBL2056	0.814	0.333	0.167	0.222	0.406	0.149	0.51	79.0	3.0	0.032	0.333	0.083	0.148	0.066	0.227	0.047	0.0	0.0
CHEMBL3267	0.911	0.333	0.167	0.222	0.75	0.191	0.565	68.0	4.0	0.003	0.333	0.083	0.148	0.116	0.19	0.026	0.0	0.0
CHEMBL321	0.885	0.111	0.167	0.133	0.802	0.076	0.552	66.0	4.0	0.0	0.037	0.083	0.053	0.018	0.058	0.019	0.0	0.0
CHEMBL4361	0.914	0.194	0.5	0.267	0.774	0.273	0.717	63.0	3.667	0.002	0.03	0.25	0.053	0.095	0.06	0.049	0.0	0.333
CHEMBL1946	0.951	0.111	0.333	0.167	0.936	0.185	0.654	61.0	3.0	0.0	0.037	0.333	0.083	0.003	0.103	0.071	0.0	0.0
CHEMBL2014	0.885	0.0	0.0	0.0	0.771	-0.047	0.479	60.0	4.0	0.001	0.0	0.0	0.0	0.013	0.002	0.0	0.0	0.0
CHEMBL3979	0.957	0.0	0.0	0.0	0.621	0.0	0.5	51.0	3.0	0.0	0.0	0.0	0.0	0.121	0.0	0.0	0.0	0.0
CHEMBL208	0.833	0.0	0.0	0.0	0.841	-0.079	0.437	51.0	3.0	0.005	0.0	0.0	0.0	0.005	0.001	0.001	0.0	0.0
CHEMBL203	0.937	0.111	0.333	0.167	0.483	0.183	0.65	48.0	3.0	0.001	0.037	0.333	0.083	0.186	0.1	0.067	0.0	0.0
CHEMBL262	0.889	0.444	0.333	0.356	0.667	0.316	0.64	47.0	3.0	0.003	0.259	0.083	0.113	0.001	0.145	0.022	0.0	0.0
