	id	chembl_cid1	chembl_cid2	core	sub1	sub2	pot1	pot2	dpot	thres	class	core_id	CGR
0	CHEMBL2159198-CHEMBL2159141	CHEMBL2159141	CHEMBL2159198	[R1]n1c(nc2c1c3cc[nH]c3nc2)C	[R1]C1CCNCC1	[R1]C1CCCCC1	8.0	8.886056647693161	0.8860566476931613	1.8200392068322544	-1	11.0	Cc1nc2cnc3[nH]ccc3c2n1(C1CCNCC1)~C1CCCCC1
1	CHEMBL2386625_CHEMBL2386626-CHEMBL2386627	CHEMBL2386625_CHEMBL2386626	CHEMBL2386627	[R1]n1c2c3cc[nH]c3ncc2nc1C(C)O	[R1]C1CCC(CC1)O	[R1]C1CCCC(C1)O	8.094212497064703	8.568636235841014	0.4744237387763111	1.8200392068322544	-1	10.0	CC(O)c1nc2cnc3[nH]ccc3c2n1(C1CCC(O)CC1)~C1CCCC(O)C1
2	CHEMBL2386625_CHEMBL2386626-CHEMBL2386651	CHEMBL2386651	CHEMBL2386625_CHEMBL2386626	[R1]n1c2c3cc[nH]c3ncc2nc1C(C)O	[R1]C1CCOCC1	[R1]C1CCC(CC1)O	7.508638306165728	8.094212497064703	0.5855741908989751	1.8200392068322544	-1	10.0	CC(O)c1nc2cnc3[nH]ccc3c2n1(C1CCOCC1)~C1CCC(O)CC1
3	CHEMBL2386630-CHEMBL2386628	CHEMBL2386628	CHEMBL2386630	[R1]C1CCC(CC1)n2c3c4cc[nH]c4ncc3nc2C(C)O	[R1]OC	[R1]NCC(F)F	8.309803919971486	8.958607314841776	0.6488033948702903	1.8200392068322544	-1	9.0	COC1(~NCC(F)F)CCC(n2c(C(C)O)nc3cnc4[nH]ccc4c32)CC1
4	CHEMBL2386646-CHEMBL2386647	CHEMBL2386647	CHEMBL2386646	[R1]N1CCC(CC1)n2c3c4cc[nH]c4ncc3nc2C(C)O	[R1]CCC#N	[R1]CC(F)(F)F	8.468521082957745	8.585026652029184	0.11650556907143896	1.8200392068322544	-1	8.0	CC(O)c1nc2cnc3[nH]ccc3c2n1C1CCN(CCC#N)(~CC(F)(F)F)CC1
5	CHEMBL2386649-CHEMBL2386650	CHEMBL2386650	CHEMBL2386649	[R1]N1CCCC(C1)n2c3c4cc[nH]c4ncc3nc2C(C)O	[R1]C(=O)CC(F)(F)F	[R1]C(=O)CC#N	7.366531544420412	8.2839966563652	0.9174651119447884	1.8200392068322544	-1	7.0	CC(O)c1nc2cnc3[nH]ccc3c2n1C1CCCN(C(=O)CC(F)(F)F)(~C(=O)CC#N)C1
6	CHEMBL2387224-CHEMBL2420812	CHEMBL2420812	CHEMBL2387224	[R1]Nc1cc(ccn1)NC(=O)c2c(cccc2Cl)Cl	[R1]C(=O)NCC	[R1]C(=O)C1CC1	6.366531544420412	7.076238347653921	0.7097068032335088	1.8200392068322544	-1	6.0	CCNC(=O)N(c1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1)~C(=O)C1CC1
7	CHEMBL2392483-CHEMBL2392480	CHEMBL2392483	CHEMBL2392480	[R1]NC1CCC(CC1)n2c3c4cc[nH]c4ncc3nn2	[R1]C(=O)OC	[R1]CCC#N	7.920818753952375	8.229147988357855	0.30832923440548043	1.8200392068322544	-1	5.0	COC(=O)N(~CCC#N)C1CCC(n2nnc3cnc4[nH]ccc4c32)CC1
8	CHEMBL2392484-CHEMBL2392480	CHEMBL2392480	CHEMBL2392484	[R1]NC1CCC(CC1)n2c3c4cc[nH]c4ncc3nn2	[R1]CCC#N	[R1]C(=O)CC(C)C	8.229147988357855	8.327902142064282	0.0987541537064267	1.8200392068322544	-1	5.0	CC(C)CC(=O)~N(CCC#N)C1CCC(n2nnc3cnc4[nH]ccc4c32)CC1
9	CHEMBL2392484-CHEMBL2392483	CHEMBL2392483	CHEMBL2392484	[R1]NC1CCC(CC1)n2c3c4cc[nH]c4ncc3nn2	[R1]C(=O)OC	[R1]C(=O)CC(C)C	7.920818753952375	8.327902142064282	0.4070833881119072	1.8200392068322544	-1	5.0	COC(=O)N(C1CCC(n2nnc3cnc4[nH]ccc4c32)CC1)~C(=O)CC(C)C
