,1,2,bool
[C]CN,47,47,True
[R1]C(=C(CN)C=[CH])[CH],11,11,True
[CH]C(=[C])CN,11,11,True
[R1]C([CH2])([CH2])CN([CH2])[CH2],15,15,True
CN([CH2])CC(=[C])[C],12,12,True
CN([CH2])CC[C],12,12,True
[CH2]N([CH2])CC(=[C])[C],14,14,True
[CH2]N([C])[C],1,1,True
[CH2]CC(=C[CH])C(=[C])[N],1,1,True
[R1]C(=C(C(=[CH])[CH2])N([CH2])[C])[CH],1,1,True
CC(=O)N(C[CH2])C(=[C])[C],1,1,True
[CH2]CCN([C])[C],1,1,True
[C]CCC[N],1,1,True
CC(=O)N([CH2])[C],1,1,True
CO[CH2],84,84,True
CN([CH2])CC[O],8,8,True
COCC[N],8,8,True
COC[CH2],14,14,True
[R1][O],2,2,True
[R1]O[C],2,2,True
[CH2]C(=O)[O],2,2,True
[R1]OC(=O)[CH2],2,2,True
[R1]OC(=O)C[CH2],2,2,True
C(CN)C(=O)[O],2,2,True
[C]CCN,35,35,True
[C]C(=O)[NH],21,21,True
[C]C1(CC1)N,4,4,True
C1C[C]1,2,2,True
[C]N,25,25,True
[R1]NC(=O)[C],11,11,True
[R1]NC(=O)C1(CC1)N,2,2,True
C1CC1(C(=O)[NH])N,2,2,True
[CH]C(=O)[NH],14,14,True
[CH2]C([C])N,5,5,True
[CH]C[CH],53,53,True
CC(C)[CH2],65,65,True
[R1]NC(=O)[CH],14,14,True
[R1]NC(=O)C([CH2])N,2,2,True
[CH]CC(C(=O)[NH])N,2,2,True
CC(C)CC([C])N,5,5,True
CC(C)C[CH],53,53,True
[CH2]C(=O)[NH],69,69,True
[R1]NC(=O)[CH2],40,40,True
[R1]NC(=O)C[CH2],10,10,True
C(CN)C(=O)[NH],23,23,True
CN(C)[CH2],8,8,True
[R1]NC(=O)C[N],4,4,True
CN(C)CC(=O)[NH],4,4,True
CN(C)C[C],6,6,True
[R1]NC(=O)C[CH],2,2,True
[CH2]C(CC(=O)[NH])[NH],2,2,True
[C]CC1CCCN1,2,2,True
[CH2]C1CCCN1,16,16,True
C1C[CH]NC1,24,24,True
[CH2]CCC(=O)[NH],1,1,True
[C]CCCN,1,1,True
[CH2]CCN,6,6,True
[CH2]C([C])[NH],5,5,True
[R1]NC(=O)C([CH2])[NH],5,5,True
C1CC(NC1)C(=O)[NH],2,2,True
[C]C1CCCN1,4,4,True
C1CNC1C(=O)[NH],2,2,True
[C]C1CCN1,2,2,True
