	accuracy	precision	recall	f1	auc_roc	matthews_coeff	balanced_accuracy	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	balanced_accuracy_var	#tr_var	#ac_tr_var
CHEMBL255	0.964	0.0	0.0	0.0	0.881	0.0	0.5	588.0	22.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0
CHEMBL256	0.937	0.205	0.167	0.184	0.896	0.175	0.58	557.0	38.0	0.0	0.126	0.083	0.101	0.006	0.092	0.019	0.0	0.0
CHEMBL3991	0.964	0.865	0.608	0.713	0.974	0.708	0.8	542.0	38.0	0.0	0.016	0.005	0.007	0.001	0.009	0.001	0.0	0.0
CHEMBL214	0.933	0.317	0.178	0.222	0.876	0.214	0.584	495.0	36.0	0.0	0.126	0.064	0.089	0.005	0.085	0.015	0.0	0.0
CHEMBL344	0.93	0.286	0.125	0.174	0.896	0.182	0.562	480.0	37.0	0.0	0.245	0.047	0.091	0.0	0.099	0.011	0.0	0.0
CHEMBL1075323	0.955	0.167	0.037	0.061	0.906	0.074	0.518	470.0	22.0	0.0	0.083	0.004	0.011	0.0	0.016	0.001	0.0	0.0
CHEMBL2326	0.958	0.0	0.0	0.0	0.799	0.0	0.5	438.0	18.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0
CHEMBL233	0.947	0.867	0.222	0.346	0.902	0.416	0.609	437.0	28.0	0.0	0.053	0.002	0.003	0.001	0.004	0.001	0.0	0.0
CHEMBL224	0.933	0.778	0.214	0.311	0.842	0.358	0.603	425.0	34.0	0.0	0.148	0.036	0.064	0.005	0.061	0.009	0.0	0.0
CHEMBL4657	0.961	0.0	0.0	0.0	0.576	0.0	0.5	420.0	15.0	0.0	0.0	0.0	0.0	0.086	0.0	0.0	0.0	0.0
CHEMBL218	0.937	0.433	0.139	0.204	0.857	0.227	0.567	408.0	27.0	0.0	0.163	0.03	0.058	0.002	0.063	0.007	0.0	0.0
CHEMBL2034	0.946	0.333	0.1	0.154	0.865	0.179	0.55	387.0	24.0	0.0	0.333	0.03	0.071	0.002	0.096	0.008	0.0	0.0
CHEMBL267	0.949	0.333	0.042	0.074	0.835	0.115	0.521	350.0	17.0	0.0	0.333	0.005	0.016	0.003	0.04	0.001	0.0	0.0
CHEMBL4793	0.967	0.0	0.0	0.0	0.836	0.0	0.5	350.0	13.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0
CHEMBL1902	0.952	0.524	0.292	0.36	0.861	0.37	0.642	324.0	18.0	0.0	0.252	0.068	0.097	0.018	0.105	0.016	0.0	0.0
CHEMBL2147	0.935	0.0	0.0	0.0	0.972	0.0	0.5	321.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHEMBL2820	0.931	0.333	0.1	0.154	0.87	0.178	0.55	305.0	22.0	0.0	0.333	0.03	0.071	0.03	0.095	0.008	0.0	0.0
CHEMBL4409	0.937	0.0	0.0	0.0	0.883	0.0	0.5	295.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHEMBL222	0.951	0.333	0.143	0.2	0.74	0.215	0.571	284.0	15.0	0.0	0.333	0.061	0.12	0.018	0.138	0.015	0.0	0.0
CHEMBL229	0.96	0.333	0.067	0.111	0.806	0.147	0.533	273.0	12.0	0.0	0.333	0.013	0.037	0.0	0.064	0.003	0.0	0.0
CHEMBL3729	0.927	0.2	0.111	0.143	0.958	0.138	0.552	273.0	21.0	0.0	0.12	0.037	0.061	0.001	0.057	0.008	0.0	0.0
CHEMBL4523	0.952	0.333	0.238	0.278	0.966	0.279	0.619	258.0	16.0	0.001	0.333	0.17	0.231	0.002	0.234	0.043	0.0	0.0
CHEMBL1800	0.969	0.667	0.524	0.585	0.925	0.586	0.762	252.0	15.0	0.001	0.333	0.211	0.259	0.005	0.259	0.053	0.0	0.0
CHEMBL1862	0.935	0.167	0.143	0.154	0.891	0.143	0.566	248.0	16.0	0.0	0.083	0.061	0.071	0.001	0.061	0.013	0.0	0.0
